Algorithm	Size	Run 1(s)	Run 2(s)	Run 3(s)	Run 4(s)	Run 5(s)	Run 6(s)	Run 7(s)	Run 8(s)	Run 9(s)	Run 10(s)	
Insertion Sort	5000	0.0408328	0.0410328	0.0413087	0.0410811	0.0404707	0.0412856	0.0402554	0.0402520	0.0397612	0.0402887	
Insertion Sort	10000	0.1609632	0.1618209	0.1651084	0.1630966	0.1614137	0.1614161	0.1613968	0.1623045	0.1608989	0.1614095	
Insertion Sort	15000	0.3636078	0.3669296	0.3630781	0.3633938	0.3602914	0.3639794	0.3738333	0.3662212	0.3684742	0.3877643	
Insertion Sort	20000	0.6505653	0.6804193	0.6549651	0.6804911	0.6463829	0.6716036	0.6672771	0.6475022	0.6523132	0.6452977	
Insertion Sort	25000	0.9997663	1.0207100	1.0090220	1.0123335	1.0070565	1.0063168	0.9986872	1.0011002	1.0125785	1.0025023	
Insertion Sort	30000	1.4387261	1.4447718	1.4546477	1.4580082	1.4455106	1.4461007	1.4438940	1.4404533	1.4531085	1.4430051	
Insertion Sort	35000	1.9661886	1.9682147	1.9718624	1.9697959	1.9677785	1.9682534	1.9490038	1.9605536	1.9719043	1.9812550	
Insertion Sort	40000	2.5633098	2.5666625	2.5598750	2.5711073	2.5541498	2.5665062	2.5424273	2.5624227	2.5705755	2.5534599	
Insertion Sort	45000	3.2382201	3.2399935	3.2381304	3.2539863	3.2303402	3.2574847	3.2238134	3.2438760	3.2570529	3.2326285	
Insertion Sort	50000	4.0068115	4.0118173	3.9927954	4.0096983	3.9919646	4.0308675	3.9869996	4.0155811	4.0243517	3.9952868	
Insertion Sort	55000	4.8416205	4.8552365	4.8356512	4.8430473	4.8365475	4.8731213	4.8203444	4.8538596	4.8690566	4.8356569	
Insertion Sort	60000	5.7609170	5.7752976	5.7667467	5.7764524	5.7596092	5.7867161	5.7404788	5.7839048	5.7941964	5.7578027	
Insertion Sort	65000	6.7656982	6.7799286	6.7832968	6.7789758	6.7655895	6.8118887	6.7370487	6.7793472	6.7931646	6.7640269	
Insertion Sort	70000	7.8389644	7.8624843	7.8591207	7.8424689	7.8424281	7.8515186	7.8104108	7.8780052	7.8761000	7.8483579	
Insertion Sort	75000	8.9965559	9.0247712	9.0004166	9.0001468	9.0008476	9.0185855	8.9674787	9.0063686	9.0536134	9.0189604	
Insertion Sort	80000	10.2388705	10.2536482	10.2456695	10.2110340	10.2481079	10.2494074	10.1824170	10.2182467	10.2518497	10.2408666	
Insertion Sort	85000	11.5082086	11.5487701	11.5499733	11.5379295	11.5705208	11.6045411	11.5453190	11.6006943	11.6073932	11.5583258	
Insertion Sort	90000	12.9202444	12.9511186	12.9626999	12.8782596	12.9422896	12.9598991	12.9033980	12.9636914	12.9618977	12.9373871	
Insertion Sort	95000	14.3846725	14.4192372	14.3996563	14.3507729	14.4055830	14.4958098	14.4125157	14.4715077	14.4445034	14.4211005	
Insertion Sort	100000	15.9403960	15.9756913	15.9522881	15.8863213	15.9575241	16.0275074	15.9730184	16.0041001	16.5542538	16.0020475	

Merge Sort	5000	0.0024801	0.0024239	0.0024139	0.0024238	0.0024374	0.0023999	0.0024185	0.0023977	0.0024090	0.0024236	
Merge Sort	10000	0.0050625	0.0050599	0.0050785	0.0050230	0.0050411	0.0050152	0.0050469	0.0050126	0.0050132	0.0050231	
Merge Sort	15000	0.0076717	0.0076076	0.0076204	0.0076594	0.0076510	0.0075830	0.0075901	0.0076136	0.0076205	0.0075810	
Merge Sort	20000	0.0104555	0.0104569	0.0103988	0.0103717	0.0104360	0.0104043	0.0103805	0.0103856	0.0104172	0.0104035	
Merge Sort	25000	0.0132792	0.0131458	0.0131767	0.0132160	0.0132595	0.0132128	0.0131942	0.0131958	0.0131914	0.0131655	
Merge Sort	30000	0.0159554	0.0157400	0.0158305	0.0159016	0.0157688	0.0158963	0.0158602	0.0158081	0.0158561	0.0159081	
Merge Sort	35000	0.0187070	0.0187357	0.0185539	0.0185683	0.0186650	0.0188371	0.0186243	0.0186500	0.0186179	0.0186570	
Merge Sort	40000	0.0217463	0.0216183	0.0217295	0.0216020	0.0217491	0.0216113	0.0216445	0.0217462	0.0215720	0.0217338	
Merge Sort	45000	0.0245879	0.0243563	0.0244873	0.0244113	0.0244796	0.0244474	0.0245222	0.0245133	0.0244910	0.0244609	
Merge Sort	50000	0.0274527	0.0273577	0.0273191	0.0273771	0.0273187	0.0272658	0.0273019	0.0274048	0.0272641	0.0273806	
Merge Sort	55000	0.0301501	0.0301478	0.0302238	0.0301230	0.0302027	0.0301756	0.0300634	0.0301318	0.0301476	0.0301058	
Merge Sort	60000	0.0327475	0.0328332	0.0326918	0.0327535	0.0327139	0.0327777	0.0328059	0.0326709	0.0327269	0.0326828	
Merge Sort	65000	0.0348865	0.0350053	0.0347720	0.0346270	0.0346911	0.0351725	0.0346731	0.0348271	0.0345706	0.0348790	
Merge Sort	70000	0.0386565	0.0384534	0.0384151	0.0386058	0.0385971	0.0383946	0.0385474	0.0384314	0.0384506	0.0383259	
Merge Sort	75000	0.0416037	0.0415507	0.0416731	0.0416124	0.0417169	0.0415654	0.0416467	0.0416342	0.0415622	0.0417034	
Merge Sort	80000	0.0447295	0.0446338	0.0446165	0.0446410	0.0447027	0.0446861	0.0446408	0.0446691	0.0446540	0.0446682	
Merge Sort	85000	0.0475666	0.0477245	0.0476247	0.0476269	0.0476357	0.0476280	0.0476752	0.0476971	0.0476422	0.0477003	
Merge Sort	90000	0.0505259	0.0505357	0.0504295	0.0504379	0.0503938	0.0504644	0.0505779	0.0503912	0.0503847	0.0504539	
Merge Sort	95000	0.0536366	0.0537546	0.0537554	0.0536578	0.0537183	0.0536687	0.0537915	0.0536641	0.0536671	0.0537441	
Merge Sort	100000	0.0567101	0.0564328	0.0566323	0.0567055	0.0565800	0.0566838	0.0565810	0.0565922	0.0565414	0.0565429	

Quicksort	5000	0.0010577	0.0010359	0.0011107	0.0011159	0.0010672	0.0010699	0.0010109	0.0010997	0.0010693	0.0010907	
Quicksort	10000	0.0022897	0.0022964	0.0024237	0.0024339	0.0022723	0.0023902	0.0023199	0.0022611	0.0023094	0.0023135	
Quicksort	15000	0.0036214	0.0037318	0.0036081	0.0037147	0.0035970	0.0035511	0.0037668	0.0036996	0.0036930	0.0035560	
Quicksort	20000	0.0051037	0.0047951	0.0051989	0.0048103	0.0049341	0.0051821	0.0050649	0.0051027	0.0050057	0.0050413	
Quicksort	25000	0.0061598	0.0062586	0.0067819	0.0063943	0.0065734	0.0062895	0.0063965	0.0065606	0.0064699	0.0064084	
Quicksort	30000	0.0082927	0.0074790	0.0076489	0.0076687	0.0077803	0.0078069	0.0080966	0.0079517	0.0081846	0.0078479	
Quicksort	35000	0.0092898	0.0095070	0.0092171	0.0093470	0.0089912	0.0090929	0.0093609	0.0092019	0.0091651	0.0087890	
Quicksort	40000	0.0108065	0.0104929	0.0113225	0.0104383	0.0107540	0.0109180	0.0106470	0.0108508	0.0105342	0.0106281	
Quicksort	45000	0.0120578	0.0121102	0.0120811	0.0123700	0.0119282	0.0120278	0.0118629	0.0119476	0.0122129	0.0122667	
Quicksort	50000	0.0136332	0.0134373	0.0139422	0.0135040	0.0138846	0.0142441	0.0136277	0.0138614	0.0140242	0.0134650	
Quicksort	55000	0.0150090	0.0153168	0.0157122	0.0151751	0.0154306	0.0150823	0.0150315	0.0152077	0.0158648	0.0155649	
Quicksort	60000	0.0167974	0.0166288	0.0163370	0.0162833	0.0171727	0.0162874	0.0169711	0.0159530	0.0161532	0.0164914	
Quicksort	65000	0.0179700	0.0180085	0.0179126	0.0186072	0.0179328	0.0182843	0.0181331	0.0177888	0.0188497	0.0177252	
Quicksort	70000	0.0196838	0.0203623	0.0192790	0.0197206	0.0196451	0.0196361	0.0200545	0.0197790	0.0200499	0.0193245	
Quicksort	75000	0.0217066	0.0216563	0.0214977	0.0210028	0.0215529	0.0214577	0.0218740	0.0203987	0.0207510	0.0208257	
Quicksort	80000	0.0227193	0.0220752	0.0236540	0.0228792	0.0227665	0.0225354	0.0227265	0.0230559	0.0225336	0.0225116	
Quicksort	85000	0.0258232	0.0237741	0.0238841	0.0246343	0.0241017	0.0244080	0.0255053	0.0239257	0.0241022	0.0237999	
Quicksort	90000	0.0264037	0.0251341	0.0249733	0.0271979	0.0255220	0.0263871	0.0271953	0.0255715	0.0255869	0.0259868	
Quicksort	95000	0.0266470	0.0290051	0.0277259	0.0272281	0.0275963	0.0277546	0.0279070	0.0270997	0.0276965	0.0279438	
Quicksort	100000	0.0289151	0.0296284	0.0299449	0.0287046	0.0301707	0.0285022	0.0291199	0.0286240	0.0293129	0.0298143	
